top_keyword_group,count,share
no clear theme,4945,0.21642084992778676
women,4896,0.2142763359446803
black,3539,0.15488642829007834
asian/pacific islander,2285,0.10000437655914919
hispanic,2231,0.09764103461858287
diversity,1985,0.0868746991115585
lgbtq+,1490,0.06521073132303383
native american,1421,0.06219090551008797
other ethnicities & religions,57,0.0024946387150422337
